,ID,Кличка официальная,Отец id,Мать id
,535,HARDRA'S PRINCE HAL,618,721
,536,MOATVALE MADRIGAL,722,723
,537,CHARLSDON COMMANDER,436,724
,538,SOUPERLATIVE SILHOUETTE,377,725
,539,CHARLSDON WHITE PEACH,726,727
,540,HARDRA'S PRINCE CHARMING,436,728
,541,CONTANGO CHAT ME UP,729,730
,542,HARDRA'S HOLLY,600,731
,543,SOUPERLATIVE SCARLET OF MEREGIS,540,732
,544,SEQOUIAH COUNTY GAME,537,733
,545,STAR DELIGHT OF SEQOUIAH,410,734
,546,GEHAM CHARLIE BROWN,408,735
,547,SEGREDA ST CLAIRE,623,736
,548,ABRAXAS APEX,436,737
,549,ABRAXAS AMBROSIA,719,738
,550,DAJANS HIJACK,739,740
,551,VALOSCAT COPAIBA,741,742
,552,KELMASON'S KOPACABANNA,743,744
,553,LUCKY LADY,671,515
,554,SONSPAR SOLID SILVER,189,190
,555,WIDGERY MEGASTAR,250,307
,556,GOLDEN HARVEST OF TERMIST,462,745
,557,KEARBY'S MAYDAY,746,747
,558,JUBILEE MAJOR,562,748
,559,CANDERVALE STAR JOY,749,750
,560,CATRANA SANDRA BELLA,232,432
,561,PRYESTA'S CZARINA,533,534
,562,HOLLYFIR'S DOG IN A DOUBLET,604,751
,563,KEARBY'S TEMPTRESS,564,752
,564,HOLLYFIR'S DEVILS DISCIPLE,600,751
,565,HOLLYFIR'S SWEET CECILY,719,751
,566,RUBERY ROSIE TOU,753,754
,567,ROVING ROSE OF FOYRI,434,755
,568,CINNAMON WITCHCRAFT,756,757
,569,STAR OF ST ANNES,450,758
,570,SUBLIME SENORITA,410,759
,571,ARICON SIRROCCO,760,761
,572,LEYFINDS WISE GUY,377,762
,573,BOBARIS BARCAROLLE,501,502
,574,BLASTOIDEA'S SHOOTING STAR,763,764
,575,SENORA SAD EYES OF ARICON,524,765
,576,WHITE EYE STAR OF TYEMA,766,767
,577,JOBRULU SAVOIR FAIRE,746,768
,578,TADWICK AVOCET,769,770
,579,BROBAR SILVER BELLE,771,772
,580,LANGVILLE GYPSY GIRL,773,774
,581,LANGVILLE SWINGING SAM,410,775
,582,LANGVILLE DEBUTANTE,771,776
,583,HOLLYFIR'S MARY KATE,410,777
,584,SOUPERLATIVE REGAL OF ORMANDY,604,720
,585,HARDRA'S HALF MOON OF ORMANDY,600,728
,586,KEARBY'S SIR GALAHAD,778,752
,587,WILMIR LOYOLA,779,780
,588,LOUISIANNA OF KEARBY'S,781,782
